,Ax,Qx,Ay,Qy,Azeta,Qzeta
42,(-0.00012550085148361272+0.0002976882975303252j),0.32880127974741563,(-0.0003405971165406578-0.000138800726428569j),-0.020182123031193818,(-3.1793661110451373e-10+6.969633471928351e-10j),0.3607109464411433
43,(-2.4266328738949685e-05-0.0002715745938057211j),0.3386623651964871,(0.00011938051923328733-0.0002965857354438282j),-0.38911763118174925,(6.701461543589571e-10-4.35453114847996e-10j),0.3771600335484715
44,(-0.00019763779684710007+0.0001363462814059775j),1.855510600739619e-09,(0.00029033945408916604+1.358535803685077e-05j),-0.3607109598218268,(6.732177306332794e-10+4.259867001951522e-10j),-0.37716003328112
45,(-2.7361602440056094e-05-0.00021552780325467943j),-0.3771600372474011,(-0.0002957323772413528-4.768267553695505e-06j),-0.35697791744558965,(3.2287454042406076e-10+6.807801623461382e-10j),-0.3569779151271175
46,(2.1638533239058746e-05+0.00020530247235365796j),-0.3808930816012807,(-0.00024404535209838845-9.350842133786287e-05j),-0.272220057195671,(3.0872639559573677e-10-6.784471385803981e-10j),0.35697791515079774
47,(-8.164450562162838e-05-0.00016542624137100872j),0.3187114908447709,(0.00022405472716047675-0.00011006237578948806j),0.30226457428310616,(-6.527752251249341e-10+2.545864042504463e-10j),0.3808930795458254
48,(0.00013585877813600142+0.00011036944226472807j),-0.3607109341321042,(-0.00022714815680407362+9.182673920651235e-05j),0.29852914356019206,(-6.561310127899047e-10-2.43274247321666e-10j),-0.38089307951286955
49,(-0.00011510418266058589-0.00012197927802507381j),0.31421972205457754,(-0.00022645022233001207-4.677737789155036e-05j),0.29240213055519537,(1.8658543147684267e-10-5.506967305750349e-10j),-0.06667325278328096
50,(4.324962540289211e-05+0.0001588566754039129j),-0.34875337846021864,(-0.00014413833391541575-0.00016693360012682686j),-0.28231111768271394,(4.861463980996367e-10+2.6880679047540086e-10j),-0.018088321292283153
51,(-0.00013868055731516268-0.00010843378953640458j),-0.35697791738060347,(-6.801844818126108e-05-0.00020218690269562306j),0.37715998257582245,(1.7854172878063242e-10+5.191619537983754e-10j),0.06667325239702752
52,(-0.00010575984486172729+0.00011795885106691248j),0.38911767292570526,(6.362166024427041e-05+0.00018083404194500302j),0.3808930841469329,(-4.901627116883064e-10+2.0697109224064346e-10j),-0.2823111266140103
53,(0.00013094595838084963+3.6727609269390455e-05j),-0.24194686588294598,(1.2597822999817167e-06-0.0001867438365210197j),0.31235463959096327,(-4.870492047220126e-10-2.019176786466364e-10j),0.28231112653523194
